id,gesture_name,timestamp,ax,ay,az,gx,gy,gz,p0,p1,p2,p3
2,2,11469,0.01,0.02,0.88,-1.87,-3.96,-2.78,4011,3680,4095,4095
2,2,11481,0.02,0.01,0.88,-1.73,-3.96,-1.29,3996,3691,4095,4095
2,2,11493,0.03,0.02,0.87,-1.56,-2.72,-1.67,4002,3685,4095,4095
2,2,11505,0.02,0.01,0.87,-1.84,-0.58,-1.09,4013,3681,4095,4095
2,2,11517,-0.01,0.01,0.88,-2.34,-0.12,1.23,4015,3680,4095,4095
2,2,11529,-0.01,0,0.88,-2.39,1.16,2.79,4036,3683,4095,4095
2,2,11541,0.01,0,0.89,-1.23,4.06,2.94,4007,3675,4095,4095
2,2,11553,0.01,-0.01,0.89,-1.27,3.63,2.7,4005,3683,4095,4095
2,2,11565,0.03,0,0.88,-0.74,4.81,0.57,3999,3681,4095,4095
2,2,11577,-0.01,-0.01,0.86,-1.32,3.31,0.12,4002,3681,4095,4095
2,2,11589,0.02,-0.01,0.88,-0.91,1.48,-1.1,4000,3687,4095,4095
2,2,11601,0.02,0,0.88,-0.05,2.26,-3.58,4005,3683,4095,4095
2,2,11613,0,0,0.89,0.28,2.61,-3.21,4032,3686,4095,4095
2,2,11625,0,0.02,0.89,0.32,3.14,-1.76,4010,3690,4095,4095
2,2,11637,0.01,0.02,0.89,-0.75,5.05,-0.25,4007,3687,4095,4095
2,2,11649,0.01,0.02,0.89,-1.56,6.49,0.39,4005,3685,4095,4095
2,2,11661,0.01,0.01,0.88,-2.13,7.1,1.54,4013,3678,4095,4095
2,2,11673,0.02,0.01,0.88,-2.25,6.7,1.99,4031,3682,4095,4095
2,2,11685,0.03,0,0.89,-1.58,9.05,0.67,4006,3692,4095,4095
2,2,11697,-0.02,-0.01,0.89,-0.72,8,1.02,4002,3683,4095,4095
2,2,11709,0.01,0,0.9,-0.49,7.82,2.44,4005,3677,4095,4095
2,2,11721,0.01,0.02,0.91,-0.01,9.37,1.03,3959,3685,4095,4095
2,2,11733,0.01,0,0.91,-0.4,7.72,1.98,4016,3680,4095,4095
2,2,11745,0.02,0,0.93,-0.83,7.14,1.37,4016,3686,4095,4095
2,2,11757,0,0,0.92,-1.26,5.57,-0.22,3990,3683,4095,4095
2,2,11769,-0.02,0,0.92,-1.14,3.88,0.76,4015,3686,4095,4095
2,2,11781,-0.02,-0.01,0.92,-1.24,3.34,1.38,4013,3680,4095,4095
2,2,11793,0.01,-0.01,0.94,-0.4,2.76,0.24,4032,3686,4095,4095
2,2,11805,0,0,0.92,-0.65,0.56,-0.75,4011,3687,4095,4095
